Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#53,https://dx.doi.org/10.1177/15266028231160101,Deep Learning Prediction for Distal Aortic Remodeling After Thoracic Endovascular Aortic Repair in Stanford Type B Aortic Dissection.,"Zhou, Min; Luo, Xiaoyuan; Wang, Xia; Xie, Tianchen; Wang, Yonggang; Shi, Zhenyu; Wang, Manning; Fu, Weiguo",2023,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,"Prognosis (negative remodelling/need for reintervention, to guide management)","Type B Aortic Dissection, TEVAR",Retrospective (single),2010,2018,Radiologist team,CTA,Aortic CTA in subacute phase,"Negative distal aortic remodelling, and reintervention (Follow-up: 1yr-9yrs, mean 2.8 yrs)",147,"36 (remodelling), 16 (reintervention)","CNN, point cloud neural network",0,NR,67/33,Remodelling: AUC=0.884. Reintervention: AUC=0.805,0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#64,https://dx.doi.org/10.1016/j.heliyon.2024.e31228,XAI-FusionNet: Diabetic foot ulcer detection based on multi-scale feature fusion with explainable artificial intelligence.,"Biswas, Shuvo; Mostafiz, Rafid; Uddin, Mohammad Shorif; Paul, Bikash Kumar",2024,Heliyon,Diagnosis,Diabetic Foot,Public (Kaggle DFU-dataset),NR,NR,Public ,Skin images,Foot images,Binary (healthy/ulcer),6963,3389,"CNN: DenseNet201, VGG19, NasNetMobile","1 (SHAP, XAI, LIME, Grad-Cam)",NR,70/20/10,"acc=0.9905, recall=0.9818, precision=1, AUC=0.9909, f1=0.9908",0,h,l,l,l,h,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,,,,,,,
#80,https://dx.doi.org/10.3389/fcvm.2023.1127653,Carotid atherosclerotic plaque segmentation in multi-weighted MRI using a two-stage neural network: advantages of training with high-resolution imaging and histology.,"Li, Ran; Zheng, Jie; Zayed, Mohamed A; Saffitz, Jeffrey E; Woodard, Pamela K; Jha, Abhinav K",2023,Frontiers in cardiovascular medicine,Segmentation,Carotid stenosis,Prospective (single),NR,NR,"MRI+histo, also manual (NR observed)",MRI,MRI in vivo of carotid,"Segmented: older hemorrhage, calcification",9,N/A,CNN+BNN,0,NR,(7/9) / (2/9),DC=0.78 ,1,l,l,l,h,h,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,,,,,,,
#81,https://dx.doi.org/10.21037/qims-20-286,Fully automatic deep learning trained on limited data for carotid artery segmentation from large image volumes.,"Zhou, Tianshu; Tan, Tao; Pan, Xiaoyan; Tang, Hui; Li, Jingsong",2021,Quantitative imaging in medicine and surgery,Segmentation,Carotid stenosis,Public (MICCAI),NR,NR,Challenge,CTA,Carotid bifurcation,Segmented carotid bifurcation,51,N/A,Unet,0,Leave-one-out,15/41 ,DC=0.823,0,u,l,h,l,h,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,,,,,,,
#84,https://dx.doi.org/10.1016/j.heliyon.2024.e27678,Image detection of aortic dissection complications based on multi-scale feature fusion.,"Tan, Yun; Wang, Zhenxu; Tan, Ling; Li, Chunzhi; Deng, Chao; Li, Jingyu; Tang, Hao; Qin, Jiaohua",2024,Heliyon,Detection (aortic dissection complications),Aortic dissection (Type B and Type A),Retrospective (single),NR,NR,NR,CT,CT of aorta,"Bounding Boxes for Complication classes (AAO,AA,DAO,AADO, Poor perfusion, Pleural effusion and Cysts)",105 (3356 images),N/A,ResNet (CNN) + Feature pyramid network,0,NR,70/15/15,MAP=0.994,0,u,l,h,h,h,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,,,,,,,
#93,https://dx.doi.org/10.1117/1.JMI.10.2.024001,Deep-learning approach to automate the segmentation of aorta in non-contrast CTs.,"Ma, Qixiang; Lucas, Antoine; Hammami, Houda; Shu, Huazhong; Kaladji, Adrien; Haigron, Pascal",2023,"Journal of medical imaging (Bellingham, Wash.)",Segmentation,AAA (infrarenal),Retrospective (single),NR,NR,2 vascular surgeons,NCCT,NCCT of aorta,Segmentation of aorta,30 (5749 images),N/A,CNN,1 (Feature Maps),3-fold cross validation,NR,DC=0.887,0,h,l,h,h,h,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
#101,https://dx.doi.org/10.3390/diagnostics13213363,Automated Measurement of Vascular Calcification in Femoral Endarterectomy Patients Using Deep Learning.,"Bagheri Rajeoni, Alireza; Pederson, Breanna; Clair, Daniel G; Lessner, Susan M; Valafar, Homayoun",2023,"Diagnostics (Basel, Switzerland)",Segmentation,PAD (femoral endarteretcomy),Retrospective (single),NR,NR,"Software image annotation (medical supervision) => Segmentation. Calcium scoring by ""trained individual""",CTA,CT of LRA->patella,Segmented aorta (LRA -> patella). They have a calc to get vascular calcification score,27,N/A,Unet+ResNet,0,4-fold cross validation,41/59,"Segmentation: Dec=0.834. Classification: MAPE=0.095, correlation_coeff=0.978",0,u,l,h,h,h,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#110,https://dx.doi.org/10.1016/j.compbiomed.2021.105055,Diabetic foot ulcer classification using mapped binary patterns and convolutional neural networks.,"Al-Garaawi, Nora; Ebsim, Raja; Alharan, Abbas F H; Yap, Moi Hoon",2022,Computers in biology and medicine,Diagnosis,Diabetic Foot,Public,NR,NR,Public ,Skin images,The RBG image + textural features,"Healthy vs. unhealthy, ischemia vs. not, infection vs. not","H vs. not: 1679, Ischemia vs. not: 8070, Infection vs. not: 5892","641, 4935, 2946","CNN: AlexNet, GoogLeNet, custom",1 (grad-CAM),10-fold cross validation,80/10/10',"AUC=0.981, F-measure=0.952",0,h,l,l,h,h,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,,,,,,,
#125,https://dx.doi.org/10.1038/s41598-024-64265-4,CACSNet for automatic robust classification and segmentation of carotid artery calcification on panoramic radiographs using a cascaded deep learning network.,"Yoo, Suh-Woo; Yang, Su; Kim, Jo-Eun; Huh, Kyung-Hoe; Lee, Sam-Sun; Heo, Min-Suk; Yi, Won-Jin",2024,Scientific reports,Diagnosis + Segmentation,Carotid stenosis,Retrospective (single),2009,2022,Oral radiologist using CT,Panoramic radiographs (dental),Dental images (for teeth) but show some of the Carotid,Classification: disease (normal/abnormal). Segmentation: calcification (on 200 abnormal cases only),400,200,"UNet: VGG16, MobileNet v2, ResNet101, DenseNet",1 (grad-CAM),NR,60/20/20,"Classification: AUC=0.996, acc=0.985, sens=0.980, spec=0.988. Segmentation: DC=0.722, precision=0.749, recall=0.756",0,h,l,l,h,h,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,,,,,,,
#142,https://dx.doi.org/10.1007/s00261-023-04119-1,Automated detection of incidental abdominal aortic aneurysms on computed tomography.,"Chatterjee, Devina; Shen, Thomas C; Mukherjee, Pritam; Lee, Sungwon; Garrett, John W; Zacharias, Nicholas; Pickhardt, Perry J; Summers, Ronald M",2024,Abdominal radiology (New York),Segmentation->Diagnosis,AAA ,"Public (MICCAI, NIH)",NR,NR,Segmentation: radiologist segmented. Classification: validated automated calcified plaque detector,CT,"Axial CT aorta images,","Segmentation of aorta in asx population. If maximal diameter >3cm, classified as AAA. ",66,N/A,Unet ,0,NR,NR,"sens=0.96, spec=0.96, auc=0.99",1 (colonography scans),h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,,,,,,,
#144,https://dx.doi.org/10.1002/mp.16967,"Automated multiclass segmentation, quantification, and visualization of the diseased aorta on hybrid PET/CT-SEQUOIA.","van Praagh, Gijs D; Nienhuis, Pieter H; Reijrink, Melanie; Davidse, Mirjam E J; Duff, Lisa M; Spottiswoode, Bruce S; Mulder, Douwe J; Prakken, Niek H J; Scarsbrook, Andy F; Morgan, Ann W; Tsoumpas, Charalampos; Wolterink, Jelmer M; Mouridsen, Kim B; Borra, Ronald J H; Sinha, Bhanu; Slart, Riemer H J A",2024,Medical physics,Segmentation,Aorta (ascending - abdominal),Public (4 datasets),NR,NR,Segmentation: 4 observers. ,CT,Non-contrast low-dose CT from pts with vasc pathologies,Segmentation of diseased aorta. Classification of calcium scores with algorithm,352,N/A,Unet,0,NR,80/20,"Segmentation: DC=0.867, HD=1.0. Classification: intracclass correlation coefficients=1",1,h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#146,https://dx.doi.org/10.1016/j.compmedimag.2024.102372,Unsupervised classification of multi-contrast magnetic resonance histology of peripheral arterial disease lesions using a convolutional variational autoencoder with a Gaussian mixture model in latent space: A technical feasibility study.,"Csore, Judit; Roy, Trisha L; Wright, Graham; Karmonik, Christof",2024,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,Segmentation ,PAD ,Retrospective,NR,NR,Histo,MRI,multi-contrast MR T2 for 6 amputated legs. Ex-vivo,"Classification of space: concentric calcified, eccentric calcified, occlue hard tissue, occluded with soft tissue",6,N/A,CNN (Gaussian mixture model),0,NR,67/33,Acc=0.88,0,l,l,l,h,h,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,,,,,,,
#155,https://dx.doi.org/10.1038/s41598-024-62076-1,Smart diabetic foot ulcer scoring system.,"Wang, Zheng; Tan, Xinyu; Xue, Yang; Xiao, Chen; Yue, Kejuan; Lin, Kaibin; Wang, Chong; Zhou, Qiuhong; Zhang, Jianglin",2024,Scientific reports,Diagnosis,Diabetic Foot,Public (DFUC) + Retrospective (single),NR,NR,"Physician team (junior, mid and senior) for Wagner classification ",Skin image,Foot images,"Classification: ulcer, infection, normal, gangrene",1944,1504,Unet+ResNet,1 (grad-CAM),NR,70/20/10,Acc=0.9534,1,h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,,,,,,,
#157,https://dx.doi.org/10.1016/j.amjcard.2024.03.035,Convolutional Neural Networks to Study Contrast-Enhanced Magnetic Resonance Imaging-Based Skeletal Calf Muscle Perfusion in Peripheral Artery Disease.,"Khagi, Bijen; Belousova, Tatiana; Short, Christina M; Taylor, Addison A; Bismuth, Jean; Shah, Dipan J; Brunner, Gerd",2024,The American journal of cardiology,Diagnosis,PAD,Retrospective (single),NR,NR,NR,MRI,Contrast enhanced MRI of calf muscles,Classification: (pad or healthy),56,35,resNet + divNet,1 (activation mapping),2-fold cross validation,NR,"acc=0.75, spec=0.87",0,l,l,l,h,h,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#158,https://dx.doi.org/10.1016/j.jvs.2024.01.214,Multicentric clinical evaluation of a computed tomography-based fully automated deep neural network for aortic maximum diameter and volumetric measurements.,"Postiglione, Thomas J; Guillo, Enora; Heraud, Alexandre; Rossillon, Alexandre; Bartoli, Michel; Herpe, Guillaume; Adam, Chloe; Fabre, Dominique; Ardon, Roberto; Azarine, Arshid; Haulon, Stephan",2024,Journal of vascular surgery,Segmentation + Quantification,Aorta (ascending - abdominal),Retrospective (multi),NR,NR,Physician Team,CT,"Axial CT aorta images,",Segmentation of aorta (in 7 zones) and volume assessment,216 (350 images),N/A,"ARVA",0,NR,67/33,acc=0.855,0,h,l,l,h,h,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#171,https://dx.doi.org/10.1038/s41598-024-59735-8,Computed tomography-based automated measurement of abdominal aortic aneurysm using semantic segmentation with active learning.,"Kim, Taehun; On, Sungchul; Gwon, Jun Gyo; Kim, Namkug",2024,Scientific reports,Segmentation + Quantification,AAA,Retrospective (single),2007,2016,Physician team,CT,Abdominal CT,"Segmentation 4 classes = aorta, thrombus, calcification, vessels. Quantification afterwards (non-ML)",60,N/A,"Active learning/ Semantic segmentation: Unet, nnUnet, ensemble",,NR,80/10/10',Reduced time=13.74 mins,0,u,l,l,h,h,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,,,,,,,
#186,https://dx.doi.org/10.1038/s41598-024-56626-w,Integrated image and location analysis for wound classification: a deep learning approach.,"Patel, Yash; Shah, Tirth; Dhar, Mrinal Kanti; Zhang, Taiyu; Niezgoda, Jeffrey; Gopalakrishnan, Sandeep; Yu, Zeyun",2024,Scientific reports,Diagnosis,Leg ulcer (Diabetic foot),Public (2 datasets),NR,NR,Public ,Skin images,Images of ulcers,"Classification: diabetic, pressure, surgical or venous ulcer",1470,N/A,"CNN: VGG16, ResNet152, EfficientNet",0,5-fold cross validation,70/15/15,NR (well),0,u,l,l,h,h,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#187,https://dx.doi.org/10.1111/iwj.14565,Development of an explainable artificial intelligence model for Asian vascular wound images.,"Lo, Zhiwen Joseph; Mak, Malcolm Han Wen; Liang, Shanying; Chan, Yam Meng; Goh, Cheng Cheng; Lai, Tina; Tan, Audrey; Thng, Patrick; Rodriguez, Jorge; Weyde, Tillman; Smit, Sylvia",2024,International wound journal,Diagnosis + Segmentation + Quantification,Leg ulcer (Diabetic foot),Prospective (single),2017,2020,Vascular surgeon/nurse,Skin images,Skin images,"Classification: (neurosichemic, surgical site infection, venous leg culer, pressure ulcer). Segmentation (18 features). Wound measurements (depth, length, width)",2549 images,N/A,ImageNet,1 (SHAP),NR,80/10/10',"Classification: acc=0.963, f1=0.96. Measurement: acc=0.926, f1=0.93. Segmentation: acc=0.887",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#193,https://dx.doi.org/10.1186/s41747-024-00433-5,Detection of femoropopliteal arterial steno-occlusion at MR angiography: initial experience with artificial intelligence.,"Nguyen, Tri-Thien; Folle, Lukas; Bayer, Thomas",2024,European radiology experimental,Diagnosis ,PAD (femoral popliteal disease),Retrospective (single),2017,2021,Radiologist + DSA,MRI,MRI of legs,"Classification: PAD degree (0-3: none, focal, min, long)",105,N/A,CNN: EfficientNet,0,NR,NR,"acc=0.82, AUROC=0.87",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#195,https://dx.doi.org/10.1002/mp.16728,Segmentation of carotid artery vessel wall and diagnosis of carotid atherosclerosis on black blood magnetic resonance imaging with multi-task learning.,"Wu, Jiayi; Xin, Jingmin; Yang, Xiaofeng; Matkovic, Luke A; Zhao, Xihai; Zheng, Nanning; Li, Rui",2024,Medical physics,Segmentation + Diagnosis,Carotid stenosis,Public,NR,NR,Public ,MRI,Black blood MRI of carotdi artery (bifurcation to ICA),Lumen and outer wall segmentaiton. Atherosclerosis diagnosis (ML): normal vs. abnormal,760 (1057 images),N/A,gated multi-task network,No,NR,NR,"Segmentation: DC=0.9673. Diagnosis: AUC=0.9516, acc=0.9024",0,h,l,l,l,h,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
