Reason, Covidence #, DOI, Title, Authors, Published Year, Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1150,https://dx.doi.org/10.1109/JBHI.2019.2896034,Patient-Specific Prediction of Abdominal Aortic Aneurysm Expansion Using Bayesian Calibration.,"Zhang, Liangliang; Jiang, Zhenxiang; Choi, Jongeun; Lim, Chae Young; Maiti, Tapabrata; Baek, Seungik",2019,IEEE journal of biomedical and health informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1162,https://dx.doi.org/10.1007/s11517-018-1865-5,Fractal dimension based carotid plaque characterization from three-dimensional ultrasound images.,"Zhou, Ran; Luo, Yongkang; Fenster, Aaron; Spence, John David; Ding, Mingyue",2019,Medical & biological engineering & computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#1164,https://dx.doi.org/10.1109/TUFFC.2018.2851846,Assessment of Carotid Artery Plaque Components With Machine Learning Classification Using Homodyned-K Parametric Maps and Elastograms.,"Roy-Cardinal, Marie-Helene; Destrempes, Francois; Soulez, Gilles; Cloutier, Guy",2019,"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1304,https://dx.doi.org/10.1007/s10916-017-0745-0,Plaque Tissue Morphology-Based Stroke Risk Stratification Using Carotid Ultrasound: A Polling-Based PCA Learning Paradigm.,"Saba, Luca; Jain, Pankaj K; Suri, Harman S; Ikeda, Nobutaka; Araki, Tadashi; Singh, Bikesh K; Nicolaides, Andrew; Shafique, Shoaib; Gupta, Ajay; Laird, John R; Suri, Jasjit S",2017,Journal of medical systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#1462,https://dx.doi.org/10.1155/2014/851582,Automated tissue classification framework for reproducible chronic wound assessment.,"Mukherjee, Rashmi; Manohar, Dhiraj Dhane; Das, Dev Kumar; Achar, Arun; Mitra, Analava; Chakraborty, Chandan",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1542,https://dx.doi.org/10.1007/s11517-013-1060-7,"Assisting vascular access surgery planning for hemodialysis by using MR, image segmentation techniques, and computer simulations.","Merkx, M A G; Bode, A S; Huberts, W; Olivan Bescos, J; Tordoir, J H M; Breeuwer, M; van de Vosse, F N; Bosboom, E M H",2013,Medical & biological engineering & computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1546,https://dx.doi.org/10.1007/s10278-012-9566-3,Automatic active contour-based segmentation and classification of carotid artery ultrasound images.,"Chaudhry, Asmatullah; Hassan, Mehdi; Khan, Asifullah; Kim, Jin Young",2013,Journal of digital imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1552,https://dx.doi.org/10.1007/s10439-012-0691-4,Surface curvature as a classifier of abdominal aortic aneurysms: a comparative analysis.,"Lee, Kibaek; Zhu, Junjun; Shum, Judy; Zhang, Yongjie; Muluk, Satish C; Chandra, Ankur; Eskandari, Mark K; Finol, Ender A",2013,Annals of biomedical engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1553,https://dx.doi.org/10.1016/j.cmpb.2012.09.008,Understanding symptomatology of atherosclerotic plaque by image-based tissue characterization.,"Acharya, U Rajendra; Faust, Oliver; S, Vinitha Sree; Alvin, A P C; Krishnamurthi, Ganapathy; Seabra, Jose C R; Sanches, Joao; Suri, Jasjit S",2013,Computer methods and programs in biomedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1573,https://dx.doi.org/10.1109/EMBC.2012.6346645,Carotid ultrasound symptomatology using atherosclerotic plaque characterization: a class of Atheromatic systems.,"Acharya, U Rajendra; S, Vinitha Sree; Molinari, Filippo; Saba, Luca; Nicolaides, Andrew; Shafique, Shoaib; Suri, Jasjit S",2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1582,https://dx.doi.org/10.1016/j.cmpb.2012.08.011,Carotid artery image segmentation using modified spatial fuzzy c-means and ensemble clustering.,"Hassan, Mehdi; Chaudhry, Asmatullah; Khan, Asifullah; Kim, Jin Young",2012,Computer methods and programs in biomedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1594,https://dx.doi.org/10.1016/j.ultrasmedbio.2012.01.015,Atherosclerotic risk stratification strategy for carotid arteries using texture-based features.,"Acharya, U Rajendra; Sree, S Vinitha; Krishnan, M Muthu Rama; Molinari, Filippo; Saba, Luca; Ho, Sin Yee Stella; Ahuja, Anil T; Ho, Suzanne C; Nicolaides, Andrew; Suri, Jasjit S",2012,Ultrasound in medicine & biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1595,https://dx.doi.org/10.1109/TITB.2012.2192446,Prediction of high-risk asymptomatic carotid plaques based on ultrasonic image features.,"Kyriacou, Efthyvoulos C; Petroudi, Styliani; Pattichis, Constantinos S; Pattichis, Marios S; Griffin, Maura; Kakkos, Stavros; Nicolaides, Andrew",2012,IEEE transactions on information technology in biomedicine : a publication of the IEEE Engineering in Medicine and Biology Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1596,https://dx.doi.org/10.3174/ajnr.A3028,Automated versus manual in vivo segmentation of carotid plaque MRI.,"van 't Klooster, R; Naggara, O; Marsico, R; Reiber, J H C; Meder, J-F; van der Geest, R J; Touze, E; Oppenheim, C",2012,AJNR. American journal of neuroradiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1598,https://dx.doi.org/10.1007/s11517-012-0883-y,Automatic segmentation of carotid B-mode images using fuzzy classification.,"Rocha, Rui; Silva, Jorge; Campilho, Aurelio",2012,Medical & biological engineering & computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1599,,Automated carotid IMT measurement and its validation in low contrast ultrasound database of 885 patient Indian population epidemiological study: results of AtheroEdge TM Software.,"Molinari, F; Meiburger, K M; Zeng, G; Saba, L; Rajendra Acharya, U; Famiglietti, L; Georgiou, N; Nicolaides, A; Sriswan Mamidi, R; Kuper, H; Suri, J S",2012,International angiology : a journal of the International Union of Angiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1602,https://dx.doi.org/10.1016/j.compmedimag.2011.12.001,3D segmentation of abdominal aorta from CT-scan and MR images.,"Duquette, Anthony Adam; Jodoin, Pierre-Marc; Bouchot, Olivier; Lalande, Alain",2012,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1611,https://dx.doi.org/10.1007/s10278-011-9417-7,Evaluation of texture for classification of abdominal aortic aneurysm after endovascular repair.,"Garcia, Guillermo; Maiora, Josu; Tapia, Arantxa; De Blas, Mariano",2012,Journal of digital imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1612,https://dx.doi.org/10.1016/j.cmpb.2011.06.009,Geometrical methods for level set based abdominal aortic aneurysm thrombus and outer wall 2D image segmentation.,"Zohios, Christos; Kossioris, Georgios; Papaharilaou, Yannis",2012,Computer methods and programs in biomedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1632,https://dx.doi.org/10.1109/IEMBS.2005.1616750,Multiscale morphological analysis of the atherosclerotic carotid plaque.,"Kyriacou, E; Pattichis, M S; Christodoulou, C I; Pattichis, C S; Kakkos, S; Nicolaides, A",2005,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1641,https://dx.doi.org/10.1109/IEMBS.2011.6091278,Feature selection applied to ultrasound carotid images segmentation.,"Rosati, Samanta; Molinari, Filippo; Balestra, Gabriella",2011,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1642,https://dx.doi.org/10.1109/IEMBS.2011.6091275,CARES 3.0: a two stage system combining feature-based recognition and edge-based segmentation for CIMT measurement on a multi-institutional ultrasound database of 300 images.,"Molinari, Filippo; Meiburger, Kristen M; Acharya, U Rajendra; Zeng, Guang; Rodrigues, Paulo S; Saba, Luca; Nicolaides, Andrew; Suri, Jasjit S",2011,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1650,https://dx.doi.org/10.1016/j.compbiomed.2011.07.005,Detection of type II endoleaks in abdominal aortic aneurysms after endovascular repair.,"Macia, I; Grana, M; Maiora, J; Paloc, C; de Blas, Mariano",2011,Computers in biology and medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1652,https://dx.doi.org/10.1118/1.3574887,Three-dimensional ultrasound of carotid atherosclerosis: semiautomated segmentation using a level set-based method.,"Ukwatta, E; Awad, J; Ward, A D; Buchanan, D; Samarabandu, J; Parraga, G; Fenster, A",2011,Medical physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1663,https://dx.doi.org/10.1109/TBME.2011.2127476,Segmentation of plaques in sequences of ultrasonic B-mode images of carotid arteries based on motion estimation and a Bayesian model.,"Destrempes, Francois; Meunier, Jean; Giroux, Marie-France; Soulez, Gilles; Cloutier, Guy",2011,IEEE transactions on bio-medical engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1674,https://dx.doi.org/10.1007/s10278-010-9356-8,Medical decision-making system of ultrasound carotid artery intima-media thickness using neural networks.,"Santhiyakumari, N; Rajendran, P; Madheswaran, M",2011,Journal of digital imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1682,https://dx.doi.org/10.1007/s10439-010-0165-5,A framework for the automatic generation of surface topologies for abdominal aortic aneurysm models.,"Shum, Judy; Xu, Amber; Chatnuntawech, Itthi; Finol, Ender A",2011,Annals of biomedical engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1684,https://dx.doi.org/10.1109/IEMBS.2010.5626473,Automatic identification of internal carotid artery from 3DRA images.,"Bogunovic, Hrvoje; Pozo, Jose Mariia; Cardenes, Ruben; Frangi, Alejandro F",2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1685,https://dx.doi.org/10.1109/IEMBS.2010.5626390,Role of fuzzy pre-classifier for high performance LI/MA segmentation in B-mode longitudinal carotid ultrasound images.,"Molinari, Filippo; Gaetano, Laura; Balestra, Gabriella; Suri, Jasjit S",2010,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1708,https://dx.doi.org/10.1109/TMI.2009.2039579,Reconstruction and finite element mesh generation of abdominal aortic aneurysms from computerized tomography angiography data with minimal user interactions.,"Auer, M; Gasser, T Christian",2010,IEEE transactions on medical imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1711,https://dx.doi.org/10.1118/1.3284976,Semiautomatic vessel wall detection and quantification of wall thickness in computed tomography images of human abdominal aortic aneurysms.,"Shum, Judy; DiMartino, Elena S; Goldhamme, Adam; Goldman, Daniel H; Acker, Leah C; Patel, Gopal; Ng, Julie H; Martufi, Giampaolo; Finol, Ender A",2010,Medical physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1713,https://dx.doi.org/10.7863/jum.2010.29.3.399,An integrated approach to computer-based automated tracing and its validation for 200 common carotid arterial wall ultrasound images: a new technique.,"Molinari, Filippo; Zeng, Guang; Suri, Jasjit S",2010,Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1718,https://dx.doi.org/10.1007/s10439-009-9833-8,Three dimensional active contours for the reconstruction of abdominal aortic aneurysms.,"Ayyalasomayajula, Avinash; Polk, Andrew; Basudhar, Anirban; Missoum, Samy; Nissim, Lavi; Vande Geest, Jonathan P",2010,Annals of biomedical engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1742,https://dx.doi.org/10.1016/j.jbiomech.2009.04.010,Carotid arterial plaque stress analysis using fluid-structure interactive simulation based on in-vivo magnetic resonance images of four patients.,"Gao, Hao; Long, Quan; Graves, Martin; Gillard, Jonathan H; Li, Zhi-Yong",2009,Journal of biomechanics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1751,https://dx.doi.org/10.1016/j.media.2009.02.005,Congenital aortic disease: 4D magnetic resonance segmentation and quantitative analysis.,"Zhao, Fei; Zhang, Honghai; Wahle, Andreas; Thomas, Matthew T; Stolpen, Alan H; Scholz, Thomas D; Sonka, Milan",2009,Medical image analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1762,https://dx.doi.org/10.3174/ajnr.A1302,High-resolution 3T MR angiography of the carotid arteries: comparison of manual and semiautomated quantification of stenosis.,"Habibi, R; Lell, M M; Steiner, R; Ruehm, S G; Sayre, J W; Nael, K; Finn, J P",2009,AJNR. American journal of neuroradiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1773,https://dx.doi.org/10.1118/1.2940194,An improved algorithm for femoropopliteal artery centerline restoration using prior knowledge of shapes and image space data.,"Rakshe, Tejas; Fleischmann, Dominik; Rosenberg, Jarrett; Roos, Justus E; Straka, Matus; Napel, Sandy",2008,Medical physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1806,https://dx.doi.org/10.1109/titb.2006.890019,An integrated system for the segmentation of atherosclerotic carotid plaque.,"Loizou, Christos P; Pattichis, Constantinos S; Pantziaris, Marios; Nicolaides, Andrew",2007,IEEE transactions on information technology in biomedicine : a publication of the IEEE Engineering in Medicine and Biology Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1810,https://dx.doi.org/10.1109/IEMBS.2007.4353323,A study of AAA image segmentation technique using geometric active contour model with morphological gradient edge function.,"Kim, H C; Seol, Y H; Choi, S Y; Oh, J S; Kim, M G; Sun, K",2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1838,https://dx.doi.org/10.1109/IEMBS.2006.260723,Characterization of carotid atherosclerotic plaques using frequency-based texture analysis and bootstrap.,"Stoitsis, J; Tsiaparas, N; Golemati, S; Nikita, K S",2006,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1840,https://dx.doi.org/10.1109/IEMBS.2006.260450,Real-time measurement system for the evaluation of the intima media thickness with a new edge detector.,"Faita, Francesco; Gemignani, Vincenzo; Bianchini, Elisabetta; Giannarelli, Chiara; Demi, Marcello",2006,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1841,https://dx.doi.org/10.1109/IEMBS.2006.260125,Aortic thrombus segmentation using narrow band active contour model.,"Das, Bipul; Mallya, Yogish; Srikanth, Suryanarayanan; Malladi, Ravikanth",2006,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1843,https://dx.doi.org/10.1007/11866565_76,Carotid artery segmentation using an outlier immune 3D active shape models framework.,"Lekadir, Karim; Yang, Guang-Zhong",2006,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1851,https://dx.doi.org/10.1002/jmri.20798,Evaluation of carotid artery wall volume measurement using novel semiautomated analysis software.,"Varghese, Anitha; Merrifield, Robert D; Crowe, Lindsey A; Collins, Steven A; Keenan, Niall G J; Firmin, David N; Yang, Guang Zhong; Pennell, Dudley J",2006,Journal of magnetic resonance imaging : JMRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1869,https://dx.doi.org/10.1016/j.acra.2006.01.008,CT angiography of peripheral arterial bypass grafts: Accuracy and time-effectiveness of quantitative image analysis with an automated software tool.,"Keller, Denise; Wildermuth, Simon; Boehm, Thomas; Boskamp, Tobias; Mayer, Dieter; Schuster, Horst L; Marincek, Borut; Alkadhi, Hatem",2006,Academic radiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1874,https://dx.doi.org/10.1002/mrm.20814,Automated in vivo segmentation of carotid plaque MRI with Morphology-Enhanced probability maps.,"Liu, Fei; Xu, Dongxiang; Ferguson, Marina S; Chu, Baocheng; Saam, Tobias; Takaya, Norihide; Hatsukami, Thomas S; Yuan, Chun; Kerwin, William S",2006,Magnetic resonance in medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1879,https://dx.doi.org/10.1016/j.medengphy.2005.07.011,Automatic navigation path generation based on two-phase adaptive region-growing algorithm for virtual angioscopy.,"Kim, Do-Yeon; Chung, Sung-Mo; Park, Jong-Won",2006,Medical engineering & physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1899,https://dx.doi.org/10.1109/tmi.2004.843260,Segmentation of thrombus in abdominal aortic aneurysms from CTA with nonparametric statistical grey level appearance modeling.,"Olabarriaga, Silvia D; Rouet, Jean-Michel; Fradkin, Maxim; Breeuwer, Marcel; Niessen, Wiro J",2005,IEEE transactions on medical imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1924,https://dx.doi.org/10.1016/j.media.2004.01.001,Interactive segmentation of abdominal aortic aneurysms in CTA images.,"de Bruijne, Marleen; van Ginneken, Bram; Viergever, Max A; Niessen, Wiro J",2004,Medical image analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1925,https://dx.doi.org/10.1016/j.mri.2004.01.007,Computerized quantification of carotid artery stenosis using MRA axial images.,"Kim, Do-Yeon; Park, Jong-Won",2004,Magnetic resonance imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
